puerto_codigo;puerto_nombre
941;GREGORIO
942;CABO NEGRO
943;PUERTO WILLIAMS
944;TER.ANTARTICO CHILEN
945;AEROP. CARRIEL SUR
946;GUAYACAN
947;PASO PEHUENCHE
948;VENTANAS
949;PINO HACHADO(LIUCURA
950;CALETA COLOSO
951;AGUAS NEGRAS
952;ZONA FRANCA IQUIQUE
953;ZONA FRANCA PTA AREN
954;RIO MAYER
955;RIO MOSCO
956;VISVIRI
957;CHACALLUTA
958;CHUNGARA
959;COLCHANE
960;ABRA DE NAPA
961;OLLAGUE
962;SAN PEDRO DE ATACAMA
963;SOCOMPA
964;SAN FRANCISCO
965;LOS LIBERTADORES
966;MAHUIL MALAL
967;CARDENAL SAMORE
968;PEREZ ROSALES
969;FUTALEUFU
970;PALENA-CARRENLEUFU
971;PANGUIPULLI
972;HUAHUM
973;LAGO VERDE
974;APPELEG
975;PAMPA ALTA
976;HUEMULES
977;CHILE CHICO
978;BAKER
979;DOROTEA
980;CASAS VIEJAS
981;MONTE AYMOND
982;SAN SEBASTIAN
983;COYHAIQUE ALTO
984;TRIANA
985;IBANEZ PALAVICINI
986;VILLA OHIGGINS
987;AEROP.CHACALLUTA
988;AEROP.DIEGO ARACENA
989;AEROP.CERRO MORENO
990;AEROP.EL TEPUAL
991;AEROP.C.I.DEL CAMPO
992;AEROP.A.M.BENITEZ
994;ARICA-TACNA
995;ARICA-LA PAZ
997;OTROS PTOS. CHILENOS
998;PASO JAMA
999;GNL MEJILLONES
-1;DESCONOCIDO
